dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Date,Price,Open,High,Low,Vol.,Change %,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv
2020-10-01,25.792816698551174,90.0,,282.0,34.0,2020-10-01,10620.5,10776.6,10913.7,10462.7,95330.0,-1.44,10639.88,10774.960000000001,11142.98,56526.0,61751.0,61882.0
2020-10-02,6.853748321533203,73.0,,246.0,12.0,2020-10-02,10572.3,10619.6,10662.9,10387.6,77940.0,-0.45,10636.3,10850.01,11252.390000000001,51274.0,56324.0,67001.5
2020-10-03,-2.9768381118774414,74.0,,388.0,32.0,2020-10-03,10544.2,10572.2,10597.8,10501.2,29100.0,-0.27,10656.02,10946.17,11372.505,45540.0,56932.0,68770.0
2020-10-04,13.788685262203217,64.0,,295.0,10.0,2020-10-04,10672.9,10544.4,10693.3,10520.8,31400.0,1.22,10732.0,11034.130000000001,11492.0,55676.0,60489.0,71012.0
2020-10-05,3.3763489723205566,81.0,,289.0,17.0,2020-10-05,10789.5,10672.5,10789.6,10623.4,48860.0,1.09,10808.26,11108.88,11614.215,63586.0,63261.0,72002.0
2020-10-06,7.196867525577545,59.0,,402.0,28.0,2020-10-06,10602.6,10790.2,10800.3,10530.8,69070.0,-1.73,10910.039999999999,11180.23,11726.35,66976.0,65459.0,72545.5
2020-10-07,-3.790422022342682,73.0,,395.0,25.0,2020-10-07,10670.9,10601.0,10680.1,10553.3,49270.0,0.64,11063.72,11252.17,11849.3,61374.0,65694.0,73565.5
2020-10-08,4.341233193874359,67.0,,443.0,35.0,2020-10-08,10924.1,10670.7,10948.6,10549.6,79780.0,2.37,11236.320000000002,11321.289999999999,11998.645,68324.0,63753.0,77534.0
2020-10-09,20.89918541908264,98.0,,422.0,44.0,2020-10-09,11054.2,10923.5,11103.0,10836.9,70950.0,1.19,11336.259999999998,11379.570000000002,12116.385,65302.0,58926.0,80754.0
2020-10-10,18.84312987327576,107.0,,302.0,34.0,2020-10-10,11298.4,11053.5,11475.0,11053.1,65810.0,2.21,11409.5,11449.49,12236.535,62936.0,59135.0,82768.0
2020-10-11,12.440933465957642,42.0,,213.0,29.0,2020-10-11,11371.0,11295.6,11439.4,11277.6,41060.0,0.64,11450.42,11511.0,12349.61,63942.0,62013.0,84916.0
2020-10-12,7.13687926530838,70.0,,296.0,34.0,2020-10-12,11533.9,11370.8,11715.9,11227.4,84020.0,1.43,11440.619999999999,11654.77,12470.925,70014.0,77679.0,88000.5
2020-10-13,14.573371648788452,66.0,,553.0,31.0,2020-10-13,11423.8,11533.5,11558.0,11315.9,64670.0,-0.95,11406.259999999998,11798.84,12582.2,59182.0,80608.0,86385.0
2020-10-14,6.143393576145172,59.0,,392.0,22.0,2020-10-14,11420.4,11424.4,11541.0,11293.5,59120.0,-0.03,11422.880000000001,11949.869999999999,12689.079999999998,52550.0,81535.0,88039.5
2020-10-15,21.192340970039368,88.0,,622.0,42.0,2020-10-15,11503.0,11421.4,11590.9,11276.7,70840.0,0.72,11489.48,12119.55,12819.055,55334.0,80743.0,90492.0
2020-10-16,1.9230939745903013,61.0,,365.0,20.0,2020-10-16,11322.0,11503.2,11542.2,11224.6,71420.0,-1.57,11571.58,12272.470000000001,12951.185,60084.0,79632.0,93990.0
