Price_x,Open_x,High_x,Low_x,Vol._x,Change %_x,dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Price_y,Open_y,High_y,Low_y,Vol._y,Change %_y,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv,Sell_Price
10620.5,10776.6,10913.7,10462.7,95330.0,-1.44,,,,,,,,,,,,,,,,,,,
10572.3,10619.6,10662.9,10387.6,77940.0,-0.45,2020-10-02,6.853748321533203,73.0,,246.0,12.0,10572.3,10619.6,10662.9,10387.6,77940.0,-0.45,10636.3,10850.01,11252.39,51274.0,56324.0,67001.5,
10544.2,10572.2,10597.8,10501.2,29100.0,-0.27,,,,,,,,,,,,,,,,,,,
10672.9,10544.4,10693.3,10520.8,31400.0,1.22,,,,,,,,,,,,,,,,,,,
10789.5,10672.5,10789.6,10623.4,48860.0,1.09,,,,,,,,,,,,,,,,,,,
10602.6,10790.2,10800.3,10530.8,69070.0,-1.73,,,,,,,,,,,,,,,,,,,
10670.9,10601.0,10680.1,10553.3,49270.0,0.64,,,,,,,,,,,,,,,,,,,
10924.1,10670.7,10948.6,10549.6,79780.0,2.37,2020-10-08,4.341233193874359,67.0,,443.0,35.0,10924.1,10670.7,10948.6,10549.6,79780.0,2.37,11236.320000000002,11321.29,11998.645,68324.0,63753.0,77534.0,
11054.2,10923.5,11103.0,10836.9,70950.0,1.19,,,,,,,,,,,,,,,,,,,
11298.4,11053.5,11475.0,11053.1,65810.0,2.21,,,,,,,,,,,,,,,,,,,
11371.0,11295.6,11439.4,11277.6,41060.0,0.64,,,,,,,,,,,,,,,,,,,
11533.9,11370.8,11715.9,11227.4,84020.0,1.43,,,,,,,,,,,,,,,,,,,
11423.8,11533.5,11558.0,11315.9,64670.0,-0.95,,,,,,,,,,,,,,,,,,,
11420.4,11424.4,11541.0,11293.5,59120.0,-0.03,,,,,,,,,,,,,,,,,,,
11503.0,11421.4,11590.9,11276.7,70840.0,0.72,,,,,,,,,,,,,,,,,,,
11322.0,11503.2,11542.2,11224.6,71420.0,-1.57,,,,,,,,,,,,,,,,,,,
11362.1,11321.8,11402.7,11274.4,29860.0,0.35,,,,,,,,,,,,,,,,,,,
11506.9,11362.1,11506.9,11349.8,31510.0,1.27,,,,,,,,,,,,,,,,,,,
11753.4,11507.1,11823.3,11413.9,73040.0,2.14,,,,,,,,,,,,,,,,,,,11753.4
11913.5,11753.9,12029.4,11685.7,94590.0,1.36,,,,,,,,,,,,,,,,,,,
12808.7,11913.6,13213.5,11894.6,197720.0,7.51,2020-10-21,11.861618101596832,70.0,,332.0,43.0,12808.7,11913.6,13213.5,11894.6,197720.0,7.51,12973.36,13188.22,13898.505,99180.0,107819.0,120688.0,12808.7
12974.6,12805.5,13183.9,12698.2,113310.0,1.3,,,,,,,,,,,,,,,,,,,
12934.1,12972.7,13025.5,12738.9,73940.0,-0.31,,,,,,,,,,,,,,,,,,,
13117.2,12933.6,13161.5,12876.4,51200.0,1.42,,,,,,,,,,,,,,,,,,,
13032.2,13117.0,13345.3,12900.4,59730.0,-0.65,,,,,,,,,,,,,,,,,,,
13061.6,13033.0,13229.7,12792.4,89470.0,0.23,,,,,,,,,,,,,,,,,,,
13657.8,13061.5,13782.3,13050.3,128639.99999999999,4.56,2020-10-27,19.99004304409027,65.0,,409.0,27.0,13657.8,13061.5,13782.3,13050.3,128640.0,4.56,13550.22,13882.45,14784.2,119114.0,122150.0,123109.0,
13278.9,13658.3,13851.7,12907.6,144180.0,-2.77,2020-10-28,20.94838792085648,128.0,,397.0,49.0,13278.9,13658.3,13851.7,12907.6,144180.0,-2.77,13570.54,14074.46,14937.1,103728.0,127899.0,122581.5,
13457.2,13278.3,13640.0,12982.9,111230.0,1.34,,,,,,,,,,,,,,,,,,,
13559.9,13457.0,13667.9,13134.5,108770.0,0.76,,,,,,,,,,,,,,,,,,,
13797.3,13560.2,14065.4,13441.7,102750.0,1.75,,,,,,,,,,,,,,,,,,,
13759.4,13795.5,13889.5,13628.7,51710.0,-0.27,,,,,,,,,,,,,,,,,,,
13561.4,13759.7,13828.4,13214.2,97760.0,-1.44,,,,,,,,,,,,,,,,,,,
14019.9,13560.5,14054.0,13294.6,108170.0,3.38,,,,,,,,,,,,,,,,,,,
14145.6,14023.0,14238.8,13544.4,140800.0,0.9,,,,,,,,,,,,,,,,,,,14145.6
15587.1,14145.6,15739.9,14099.7,227490.0,10.19,,,,,,,,,,,,,,,,,,,15587.1
15577.9,15593.9,15955.2,15223.5,186130.0,-0.06,,,,,,,,,,,,,,,,,,,
14828.4,15578.2,15754.4,14385.1,160730.0,-4.81,2020-11-07,16.858563721179962,90.0,4.29727742,480.0,62.0,14828.4,15578.2,15754.4,14385.1,160730.0,-4.81,15327.74,15799.740000000002,17021.515,126638.0,117264.0,142465.0,
